alg	epsrel	value	errorest	error	neval	nregions	time
gpucuhre	1.000000e-03	9.985112e-01	8.233076e-04	1.488768e-03	8945391	32767	1.042083e+01
gpucuhre	2.000000e-04	9.994064e-01	1.252114e-05	5.935883e-04	12585987141	23034875	2.884576e+03
gpucuhre	4.000000e-05	9.994064e-01	1.252114e-05	5.935883e-04	273	1	4.719840e-01
gpucuhre	8.000000e-06	9.993348e-01	7.496914e-06	6.652113e-04	25543365393	46766337	5.521393e+03
gpucuhre	1.600000e-06	9.993013e-01	5.847191e-06	6.986637e-04	29308169163	53661582	6.283886e+03
gpucuhre	3.200000e-07	9.992867e-01	4.955706e-06	7.133163e-04	30374713005	55614959	6.504139e+03
gpucuhre	6.400000e-08	9.992785e-01	4.377391e-06	7.215283e-04	30374713005	55614959	6.519846e+03
gpucuhre	1.280000e-08	9.992768e-01	3.963703e-06	7.232203e-04	31727254923	58092142	6.787105e+03
gpucuhre	2.560000e-09	9.992777e-01	3.648882e-06	7.223472e-04	33609219735	61538964	7.172606e+03
gpucuhre	5.120000e-10	9.992786e-01	3.398863e-06	7.213668e-04	34638790095	63424624	7.380872e+03
gpucuhre	1.024000e-10	9.992851e-01	9.342901e-06	7.149388e-04	34644706551	63435460	7.380701e+03
gpucuhre	2.048000e-11	9.992874e-01	9.343265e-06	7.126272e-04	36650385135	67108864	7.790073e+03
gpucuhre	4.096000e-12	9.992874e-01	6.606686e-06	7.126272e-04	36650385135	67108864	7.787351e+03
