x	y
0.5	0.5
0.374144	0.5
0.625856	0.5
0.5	0.374144
0.5	0.625856
0.149303	0.5
0.850697	0.5
0.5	0.149303
0.5	0.850697
0.020452	0.5
0.979548	0.5
0.5	0.020452
0.5	0.979548
0.00219948	0.5
0.997801	0.5
0.5	0.00219948
0.5	0.997801
0.25	0.5
0.75	0.5
0.5	0.25
0.5	0.75
0.420273	0.420273
0.579727	0.420273
0.420273	0.579727
0.579727	0.579727
0.30955	0.30955
0.69045	0.30955
0.30955	0.69045
0.69045	0.69045
0.170862	0.170862
0.829138	0.170862
0.170862	0.829138
0.829138	0.829138
0.0619263	0.0619263
0.938074	0.0619263
0.0619263	0.938074
0.938074	0.938074
0.000878408	0.000878408
0.999122	0.000878408
0.000878408	0.999122
0.999122	0.999122
0.0104889	0.175386
0.989511	0.175386
0.0104889	0.824614
0.989511	0.824614
0.175386	0.0104889
0.824614	0.0104889
0.175386	0.989511
0.824614	0.989511
0.0636289	0.320869
0.936371	0.320869
0.0636289	0.679131
0.936371	0.679131
0.320869	0.0636289
0.679131	0.0636289
0.320869	0.936371
0.679131	0.936371
0.216667	0.396111
0.783333	0.396111
0.216667	0.603889
0.783333	0.603889
0.396111	0.216667
0.603889	0.216667
0.396111	0.783333
0.603889	0.783333
0.25	0.5
0.187072	0.5
0.312928	0.5
0.25	0.374144
0.25	0.625856
0.0746517	0.5
0.425348	0.5
0.25	0.149303
0.25	0.850697
0.010226	0.5
0.489774	0.5
0.25	0.020452
0.25	0.979548
0.00109974	0.5
0.4989	0.5
0.25	0.00219948
0.25	0.997801
0.125	0.5
0.375	0.5
0.25	0.25
0.25	0.75
0.210136	0.420273
0.289864	0.420273
0.210136	0.579727
0.289864	0.579727
0.154775	0.30955
0.345225	0.30955
0.154775	0.69045
0.345225	0.69045
0.0854308	0.170862
0.414569	0.170862
0.0854308	0.829138
0.414569	0.829138
0.0309632	0.0619263
0.469037	0.0619263
0.0309632	0.938074
0.469037	0.938074
0.000439204	0.000878408
0.499561	0.000878408
0.000439204	0.999122
0.499561	0.999122
0.00524443	0.175386
0.494756	0.175386
0.00524443	0.824614
0.494756	0.824614
0.0876929	0.0104889
0.412307	0.0104889
0.0876929	0.989511
0.412307	0.989511
0.0318145	0.320869
0.468186	0.320869
0.0318145	0.679131
0.468186	0.679131
0.160435	0.0636289
0.339565	0.0636289
0.160435	0.936371
0.339565	0.936371
0.108333	0.396111
0.391667	0.396111
0.108333	0.603889
0.391667	0.603889
0.198056	0.216667
0.301944	0.216667
0.198056	0.783333
0.301944	0.783333
0.75	0.5
0.687072	0.5
0.812928	0.5
0.75	0.374144
0.75	0.625856
0.574652	0.5
0.925348	0.5
0.75	0.149303
0.75	0.850697
0.510226	0.5
0.989774	0.5
0.75	0.020452
0.75	0.979548
0.5011	0.5
0.9989	0.5
0.75	0.00219948
0.75	0.997801
0.625	0.5
0.875	0.5
0.75	0.25
0.75	0.75
0.710136	0.420273
0.789864	0.420273
0.710136	0.579727
0.789864	0.579727
0.654775	0.30955
0.845225	0.30955
0.654775	0.69045
0.845225	0.69045
0.585431	0.170862
0.914569	0.170862
0.585431	0.829138
0.914569	0.829138
0.530963	0.0619263
0.969037	0.0619263
0.530963	0.938074
0.969037	0.938074
0.500439	0.000878408
0.999561	0.000878408
0.500439	0.999122
0.999561	0.999122
0.505244	0.175386
0.994756	0.175386
0.505244	0.824614
0.994756	0.824614
0.587693	0.0104889
0.912307	0.0104889
0.587693	0.989511
0.912307	0.989511
0.531814	0.320869
0.968186	0.320869
0.531814	0.679131
0.968186	0.679131
0.660435	0.0636289
0.839565	0.0636289
0.660435	0.936371
0.839565	0.936371
0.608333	0.396111
0.891667	0.396111
0.608333	0.603889
0.891667	0.603889
0.698056	0.216667
0.801944	0.216667
0.698056	0.783333
0.801944	0.783333
