alg	epsrel	value	errorest	error	neval	nregions	time
cuhre	1.000000e-03	9.999127e-01	9.998640e-04	8.733893e-05	48526075	21958	2.682071e+04
cuhre	5.000000e-04	1.000075e+00	5.000200e-04	7.506803e-05	79205295	35840	4.424974e+04
cuhre	2.500000e-04	1.000049e+00	2.500074e-04	4.885858e-05	124311395	56250	7.058294e+04
cuhre	1.250000e-04	1.000014e+00	1.250007e-04	1.359573e-05	202753135	91744	1.217096e+05
cuhre	6.250000e-05	1.000004e+00	6.249997e-05	4.130687e-06	335613915	151862	2.302642e+05
cuhre	3.125000e-05	1.000001e+00	3.124991e-05	1.455425e-06	548874495	248360	4.511798e+05
cuhre	1.562500e-05	9.999997e-01	1.562495e-05	2.665235e-07	882520405	399331	9.352969e+05
cuhre	7.812500e-06	1.000001e+00	7.812498e-06	8.657335e-07	1388581675	628318	2.060807e+06
cuhre	3.906250e-06	1.000000e+00	3.906246e-06	1.855250e-07	2117439675	958118	4.446506e+06
cuhre	1.953125e-06	1.000000e+00	1.953124e-06	1.610341e-07	3294176275	1490578	1.002755e+07
