alg	epsrel	value	errorest	error	neval	nregions	time
cuhre_0	1.000000e-02	1.019357e+00	1.018650e-02	1.935705e-02	635817	1165	3.006238e+01
vegas	1.000000e-02	1.009228e+00	9.728969e-03	9.228036e-03	2500	-1	3.038654e+00
cuhre_0	5.000000e-03	1.017030e+00	5.083582e-03	1.703019e-02	1323777	2425	8.198374e+01
vegas	5.000000e-03	1.001701e+00	4.888609e-03	1.700786e-03	10000	-1	1.156550e+00
cuhre_0	2.500000e-03	1.011144e+00	2.527704e-03	1.114382e-02	2986347	5470	1.581575e+02
vegas	2.500000e-03	1.001219e+00	2.475480e-03	1.218622e-03	38500	-1	2.627942e+00
cuhre_0	1.250000e-03	1.005370e+00	1.256625e-03	5.369960e-03	6476925	11863	4.082045e+02
vegas	1.250000e-03	9.984410e-01	1.206065e-03	1.558969e-03	162000	-1	1.240528e+01
cuhre_0	6.250000e-04	1.002977e+00	6.268578e-04	2.977111e-03	13372359	24492	1.140364e+03
vegas	6.250000e-04	9.992906e-01	6.188393e-04	7.094402e-04	612000	-1	4.327171e+01
cuhre_0	3.125000e-04	1.002756e+00	3.133610e-04	2.755562e-03	27240213	49891	4.134043e+03
vegas	3.125000e-04	9.991987e-01	3.106578e-04	8.012821e-04	2425000	-1	1.641250e+02
cuhre_0	1.562500e-04	1.001987e+00	1.565593e-04	1.987041e-03	55238001	101169	2.568176e+04
vegas	1.562500e-04	9.992357e-01	1.556219e-04	7.642527e-04	9652500	-1	6.186660e+02
cuhre_0	7.812500e-05	1.000573e+00	7.816969e-05	5.726994e-04	110611683	202586	1.357410e+05
vegas	7.812500e-05	9.992532e-01	7.790302e-05	7.468439e-04	38513500	-1	2.217437e+03
cuhre_0	3.906250e-05	9.999994e-01	3.906236e-05	6.440957e-07	211739073	387801	5.238957e+05
vegas	3.906250e-05	9.992549e-01	3.902656e-05	7.451491e-04	153467500	-1	8.983060e+03
cuhre_0	1.953125e-05	1.000100e+00	1.953317e-05	9.960677e-05	419606733	768511	2.236608e+06
vegas	1.953125e-05	9.992492e-01	1.951648e-05	7.508123e-04	615047500	-1	3.825044e+04
