alg	epsrel	value	errorest	error	neval	nregions	time
cuhre_0	1.000000e-03	1.000014e+00	6.813956e-04	1.394056e-05	2265	3	2.083650e-01
cuhre_1	1.000000e-03	1.000009e+00	7.615604e-04	9.263730e-06	2265	3	2.200410e-01
cuhre_0	2.000000e-04	1.000009e+00	1.714239e-04	9.175899e-06	3171	4	2.186780e-01
cuhre_1	2.000000e-04	1.000009e+00	1.771206e-04	8.853961e-06	3171	4	2.608430e-01
cuhre_0	4.000000e-05	1.000002e+00	3.321969e-05	1.895981e-06	6795	8	4.678000e-01
cuhre_1	4.000000e-05	1.000001e+00	3.402270e-05	8.177256e-07	7701	9	6.027950e-01
cuhre_0	8.000000e-06	1.000001e+00	7.077168e-06	6.572862e-07	10419	12	8.259690e-01
cuhre_1	8.000000e-06	1.000000e+00	7.518407e-06	4.231055e-07	11325	13	1.038269e+00
cuhre_0	1.600000e-06	1.000000e+00	1.538230e-06	1.955625e-07	15855	18	9.655430e-01
cuhre_1	1.600000e-06	1.000000e+00	1.558443e-06	5.951059e-08	18573	21	1.124534e+00
cuhre_0	3.200000e-07	1.000000e+00	2.900560e-07	2.725430e-08	24009	27	1.555943e+00
cuhre_1	3.200000e-07	1.000000e+00	2.544270e-07	2.755303e-10	28539	32	2.014472e+00
cuhre_0	6.400000e-08	1.000000e+00	5.734008e-08	6.350508e-10	33975	38	2.474530e+00
cuhre_1	6.400000e-08	1.000000e+00	6.290317e-08	4.330504e-10	40317	45	2.469669e+00
cuhre_0	1.280000e-08	1.000000e+00	1.244865e-08	1.854636e-10	47565	53	3.220923e+00
cuhre_1	1.280000e-08	1.000000e+00	1.263798e-08	3.263740e-10	58437	65	4.004860e+00
cuhre_0	2.560000e-09	1.000000e+00	2.484014e-09	7.028644e-11	66591	74	3.839072e+00
cuhre_1	2.560000e-09	1.000000e+00	2.504138e-09	7.034595e-12	86523	96	5.623580e+00
cuhre_0	5.120000e-10	1.000000e+00	4.985302e-10	2.541900e-11	96489	107	6.767722e+00
cuhre_1	5.120000e-10	1.000000e+00	4.957671e-10	1.985312e-11	130011	144	9.323732e+00
cuhre_0	1.024000e-10	1.000000e+00	1.023238e-10	2.040934e-11	135447	150	9.699859e+00
cuhre_1	1.024000e-10	1.000000e+00	1.015635e-10	1.482148e-12	198867	220	1.368961e+01
cuhre_0	2.048000e-11	1.000000e+00	2.033959e-11	4.259482e-12	195243	216	1.369018e+01
cuhre_1	2.048000e-11	1.000000e+00	2.031301e-11	3.831380e-13	321177	355	2.347410e+01
cuhre_0	4.096000e-12	1.000000e+00	4.088236e-12	6.645795e-13	298527	330	1.948158e+01
cuhre_1	4.096000e-12	1.000000e+00	4.084648e-12	7.094325e-14	533181	589	4.092434e+01
cuhre_0	8.192000e-13	1.000000e+00	8.173635e-13	3.496092e-13	451641	499	3.048375e+01
cuhre_1	8.192000e-13	1.000000e+00	8.188732e-13	2.298162e-14	933633	1031	6.108619e+01
cuhre_0	1.638400e-13	1.000000e+00	1.631891e-13	3.874678e-14	719817	795	4.582027e+01
cuhre_1	1.638400e-13	1.000000e+00	1.637004e-13	8.548717e-15	1633065	1803	8.042235e+01
cuhre_0	3.276800e-14	1.000000e+00	3.276021e-14	1.920686e-14	1158321	1279	5.711238e+01
cuhre_1	3.276800e-14	1.000000e+00	3.276401e-14	7.882583e-15	2813583	3106	1.365229e+02
cuhre_0	6.553600e-15	1.000000e+00	6.550454e-15	8.881784e-15	1852317	2045	8.788493e+01
cuhre_1	6.553600e-15	1.000000e+00	6.551829e-15	7.882583e-15	5215389	5757	2.850798e+02
cuhre_0	1.310720e-15	1.000000e+00	1.310195e-15	7.549517e-15	2961261	3269	1.433044e+02
vegas	1.000000e-03	1.000225e+00	9.519328e-04	2.254385e-04	45000	-1	4.794768e+00
vegas	2.000000e-04	1.000028e+00	1.981247e-04	2.766858e-05	976000	-1	6.678195e+01
vegas	4.000000e-05	1.000002e+00	3.996686e-05	2.182901e-06	23947000	-1	1.544547e+03
vegas	8.000000e-06	1.000000e+00	7.997558e-06	1.333272e-07	593284500	-1	3.941426e+04
vegas	1.600000e-06	1.000000e+00	1.599887e-06	6.675906e-09	14778257500	-1	9.294607e+05
vegas	3.200000e-07	NA	NA	NA	100004999500	-1	6.315728e+06
