x	y
0.5	0.5
0.75	0.25
0.25	0.75
0.375	0.375
0.875	0.875
0.625	0.125
0.125	0.625
0.1875	0.3125
0.6875	0.8125
0.9375	0.0625
0.4375	0.5625
0.3125	0.1875
0.8125	0.6875
0.5625	0.4375
0.0625	0.9375
0.09375	0.46875
0.59375	0.96875
0.84375	0.21875
0.34375	0.71875
0.46875	0.09375
0.96875	0.59375
0.71875	0.34375
0.21875	0.84375
0.15625	0.15625
0.65625	0.65625
0.90625	0.40625
0.40625	0.90625
0.28125	0.28125
0.78125	0.78125
0.53125	0.03125
0.03125	0.53125
0.046875	0.265625
0.546875	0.765625
0.796875	0.015625
0.296875	0.515625
0.421875	0.140625
0.921875	0.640625
0.671875	0.390625
0.171875	0.890625
0.234375	0.078125
0.734375	0.578125
0.984375	0.328125
0.484375	0.828125
0.359375	0.453125
0.859375	0.953125
0.609375	0.203125
0.109375	0.703125
0.078125	0.234375
0.578125	0.734375
0.828125	0.484375
0.328125	0.984375
0.453125	0.359375
0.953125	0.859375
0.703125	0.109375
0.203125	0.609375
0.140625	0.421875
0.640625	0.921875
0.890625	0.171875
0.390625	0.671875
0.265625	0.046875
0.765625	0.546875
0.515625	0.296875
0.015625	0.796875
0.0234375	0.398438
0.523438	0.898438
0.773438	0.148438
0.273438	0.648438
0.398438	0.0234375
0.898438	0.523438
0.648438	0.273438
0.148438	0.773438
0.210938	0.210938
0.710938	0.710938
0.960938	0.460938
0.460938	0.960938
0.335938	0.335938
0.835938	0.835938
0.585938	0.0859375
0.0859375	0.585938
0.117188	0.117188
0.617188	0.617188
0.867188	0.367188
0.367188	0.867188
0.492188	0.492188
0.992188	0.992188
0.742188	0.242188
0.242188	0.742188
0.179688	0.304688
0.679688	0.804688
0.929688	0.0546875
0.429688	0.554688
0.304688	0.179688
0.804688	0.679688
0.554688	0.429688
0.0546875	0.929688
0.0390625	0.132812
0.539062	0.632812
0.789062	0.382812
0.289062	0.882812
0.414062	0.257812
0.914062	0.757812
0.664062	0.0078125
0.164062	0.507812
0.226562	0.445312
0.726562	0.945312
0.976562	0.195312
0.476562	0.695312
0.351562	0.0703125
0.851562	0.570312
0.601562	0.320312
0.101562	0.820312
0.0703125	0.351562
0.570312	0.851562
0.820312	0.101562
0.320312	0.601562
0.445312	0.226562
0.945312	0.726562
0.695312	0.476562
0.195312	0.976562
0.132812	0.0390625
0.632812	0.539062
0.882812	0.289062
0.382812	0.789062
0.257812	0.414062
0.757812	0.914062
0.507812	0.164062
0.0078125	0.664062
0.0117188	0.332031
0.511719	0.832031
0.761719	0.0820312
0.261719	0.582031
0.386719	0.207031
0.886719	0.707031
0.636719	0.457031
0.136719	0.957031
0.199219	0.0195312
0.699219	0.519531
0.949219	0.269531
0.449219	0.769531
0.324219	0.394531
0.824219	0.894531
0.574219	0.144531
0.0742188	0.644531
0.105469	0.175781
0.605469	0.675781
0.855469	0.425781
